,Hotel name,Price,Rating
0,Pod Times Square,"US$1,611",8.1
1,Sonder at One Platt,"US$2,041",7.8
2,The FIDI Hotel,"US$1,797",8.3
3,"The Cloud One New York-Downtown, by the Motel One Group","US$2,435",8.4
4,Hyatt Centric Wall Street New York,"US$2,052",8.3
5,The Tuscany Powered by LuxUrban,"US$2,603",7.1
6,New York Spirit Retreats,US$735,7.6
7,Pod 51,"US$1,917",7.8
8,Mondrian Park Avenue,"US$2,291",6.5
9,Moxy NYC Downtown,"US$1,954",8.1
10,"Hotel Indigo NYC Financial District, an IHG Hotel","US$1,915",8.8
11,The Evelyn NoMad,"US$2,216",7.7
12,YOTEL New York Times Square,"US$2,076",7.2
13,citizenM New York Bowery,"US$2,321",8.8
14,Fairfield Inn by Marriott New York Manhattan/Financial District,"US$1,835",7.5
15,Renaissance New York Harlem Hotel,"US$1,771",not rated
16,Eurostars Wall Street,"US$1,770",7.8
17,"The Time New York, part of JdV by Hyatt","US$2,350",7.5
18,Arlo SoHo,"US$2,222",8.0
19,DoubleTree by Hilton Hotel New York City - Chelsea,"US$2,199",7.3
20,45 Times Square Hotel,"US$2,918",9.0
21,"Hotel Shocard Broadway, Times Square","US$1,870",7.5
22,Radio Hotel,"US$3,145",8.2
23,The James New York - NoMad,"US$2,647",8.1
24,Renaissance New York Chelsea Hotel,"US$2,307",7.8
25,W New York - Times Square,"US$2,674",7.6
26,Romer Hell's Kitchen,"US$1,798",not rated
27,33 Seaport Hotel New York,"US$2,494",8.5
28,Hilton New York Times Square,"US$2,313",7.6
29,AC Hotel by Marriott New York Times Square,"US$2,980",8.3
30,The Manhattan at Times Square,"US$1,913",5.6
31,Tempo By Hilton New York Times Square,"US$2,654",10
32,"The New Yorker, A Wyndham Hotel","US$2,298",7.7
33,Paramount Hotel Times Square,"US$1,663",6.5
34,Comfortable 1Br in Manhattan,"US$1,500",not rated
35,La Quinta by Wyndham Time Square South,"US$2,393",8.2
36,Aloft Manhattan Downtown - Financial District,"US$1,908",7.4
37,U Hotel Fifth Avenue I Empire State,"US$2,060",7.9
38,Renaissance New York Times Square Hotel,"US$2,589",8.5
39,"Club Quarters Hotel World Trade Center, New York","US$2,335",8.2
40,Be Home Hotel by LuxUrban,"US$1,535",6.6
